,Area(mm^2),Slopes,Intercept,RMSE,R^2 value
0,0-45,[0.09906831],-2.003251366120219,1.1543163240168421,0.9397288896228688
1,45-100,[0.11202625],-2.1970872801862225,3.1817550884208514,0.8668821288835419
2,100-200,[0.12473043],-1.5861642829900857,12.493577735837253,0.6659468641654396
3,200+,[0.09505987],-1.340760680791943,2.6639933049584674,0.7755798524329336
